time,rcp2013,rcp45,rcp45_nointer,rcp45_nolife,rcp85,rcp85_nointer,rcp85_nolife,res_2013,res_rcp45,res_rcp45_nointer,res_rcp45_nolife,res_rcp85,res_rcp85_nointer,res_rcp85_nolife,,,,res_2013,res_rcp45,res_rcp45_nointer,res_rcp45_nolife,res_rcp85,res_rcp85_nointer,res_rcp85_nolife
57.7,0.999833462,0.990199204,0.999988997,0.999992146,0.999981347,0.999984455,0.999957436,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
57.8,0.99983606,0.990230357,0.99998906,0.999992136,0.999981468,0.999984559,0.99995774,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
57.9,0.999838529,0.990261449,0.999989123,0.999992125,0.999981587,0.999984661,0.999958039,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
58,0.999840873,0.990292465,0.999989185,0.999992116,0.999981704,0.999984763,0.999958334,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
58.1,0.999843096,0.990323395,0.999989246,0.999992106,0.99998182,0.999984863,0.999958625,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
58.2,0.999845202,0.990354227,0.999989306,0.999992098,0.999981935,0.999984962,0.999958912,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
58.3,0.999847196,0.990384949,0.999989366,0.999992089,0.999982048,0.99998506,0.999959195,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
58.4,0.999849081,0.990415549,0.999989426,0.999992081,0.999982159,0.999985157,0.999959474,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
58.5,0.999850864,0.990446017,0.999989484,0.999992074,0.99998227,0.999985252,0.999959749,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
58.6,0.999852548,0.990476341,0.999989542,0.999992067,0.999982378,0.999985347,0.99996002,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
58.7,0.99985414,0.99050651,0.9999896,0.99999206,0.999982486,0.99998544,0.999960288,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
58.8,0.999855643,0.990536513,0.999989656,0.999992054,0.999982592,0.999985533,0.999960553,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
58.9,0.999857062,0.990566339,0.999989713,0.999992049,0.999982697,0.999985624,0.999960813,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
59,0.999858404,0.990595978,0.999989768,0.999992044,0.9999828,0.999985714,0.999961071,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
59.1,0.999859673,0.990625419,0.999989823,0.999992039,0.999982902,0.999985804,0.999961325,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
59.2,0.999860874,0.990654653,0.999989878,0.999992035,0.999983003,0.999985892,0.999961576,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
59.3,0.999862013,0.990683668,0.999989932,0.999992031,0.999983102,0.999985979,0.999961823,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
59.4,0.999863094,0.990712456,0.999989985,0.999992028,0.999983201,0.999986065,0.999962068,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
59.5,0.999864123,0.990741006,0.999990038,0.999992026,0.999983298,0.999986151,0.999962309,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
59.6,0.999865103,0.990769309,0.99999009,0.999992023,0.999983394,0.999986235,0.999962548,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
59.7,0.999866042,0.990797356,0.999990142,0.999992022,0.999983489,0.999986319,0.999962783,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
59.8,0.999866942,0.990825137,0.999990193,0.99999202,0.999983583,0.999986401,0.999963016,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
59.9,0.999867809,0.990852644,0.999990244,0.999992019,0.999983675,0.999986483,0.999963246,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
60,0.999868648,0.990879868,0.999990294,0.999992019,0.999983767,0.999986563,0.999963473,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
60.1,0.999869462,0.9909068,0.999990344,0.999992019,0.999983857,0.999986643,0.999963698,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
60.2,0.999870256,0.990933433,0.999990393,0.99999202,0.999983946,0.999986722,0.999963919,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
60.3,0.999871034,0.990959757,0.999990442,0.999992021,0.999984035,0.9999868,0.999964139,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
60.4,0.9998718,0.990985766,0.99999049,0.999992022,0.999984122,0.999986878,0.999964355,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
60.5,0.999872558,0.991011451,0.999990538,0.999992024,0.999984208,0.999986954,0.99996457,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
60.6,0.999873312,0.991036806,0.999990586,0.999992026,0.999984294,0.99998703,0.999964782,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
60.7,0.999874064,0.991061823,0.999990633,0.999992028,0.999984378,0.999987105,0.999964991,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
60.8,0.999874818,0.991086495,0.999990679,0.999992031,0.999984461,0.999987179,0.999965198,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
60.9,0.999875578,0.991110815,0.999990725,0.999992035,0.999984544,0.999987252,0.999965403,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
61,0.999876345,0.991134778,0.999990771,0.999992038,0.999984626,0.999987324,0.999965606,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
