time,rcp2013,rcp45,rcp85,rcp45_nointer,rcp45_nolife,rcp85_nointer,rcp85_nolife,res_2013,res_rcp45,res_rcp85,res_rcp45_nointer,res_rcp45_nolife,res_rcp85_nointer,res_rcp85_nolife,,,res_2013,res_rcp45,res_rcp85,res_rcp45_nointer,res_rcp45_nolife,res_rcp85_nointer,res_rcp85_nolife
52.6,0.999998638,1.00261317,1.000000055,0.999999999,0.999999901,0.999999995,0.999999947,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
52.7,0.999998676,1.002617432,1.000000054,0.999999999,0.999999902,0.999999996,0.999999948,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
52.8,0.999998712,1.002621691,1.000000053,0.999999999,0.999999903,0.999999996,0.999999948,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
52.9,0.999998748,1.002625947,1.000000053,0.999999999,0.999999904,0.999999996,0.999999949,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
53,0.999998783,1.002630201,1.000000052,0.999999999,0.999999905,0.999999996,0.999999949,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
53.1,0.999998817,1.002634453,1.000000052,0.999999999,0.999999906,0.999999996,0.99999995,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
53.2,0.99999885,1.002638701,1.000000051,0.999999999,0.999999907,0.999999996,0.99999995,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
53.3,0.999998882,1.002642947,1.000000051,0.999999999,0.999999908,0.999999996,0.999999951,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
53.4,0.999998913,1.002647191,1.00000005,0.999999999,0.999999909,0.999999996,0.999999951,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
53.5,0.999998942,1.002651431,1.00000005,0.999999999,0.99999991,0.999999996,0.999999952,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
53.6,0.999998969,1.002655669,1.000000049,0.999999999,0.999999911,0.999999996,0.999999952,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
53.7,0.999998996,1.002659905,1.000000049,0.999999999,0.999999911,0.999999996,0.999999953,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
53.8,0.999999021,1.002664137,1.000000048,0.999999999,0.999999912,0.999999996,0.999999953,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
53.9,0.999999044,1.002668367,1.000000048,0.999999999,0.999999913,0.999999996,0.999999954,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
54,0.999999066,1.002672595,1.000000047,0.999999999,0.999999914,0.999999996,0.999999954,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
54.1,0.999999086,1.002676819,1.000000047,0.999999999,0.999999915,0.999999996,0.999999954,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
54.2,0.999999105,1.002681041,1.000000046,0.999999999,0.999999916,0.999999996,0.999999955,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
54.3,0.999999122,1.00268526,1.000000046,0.999999999,0.999999917,0.999999996,0.999999955,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
54.4,0.999999138,1.002689477,1.000000045,0.999999999,0.999999917,0.999999996,0.999999956,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
54.5,0.999999152,1.002693691,1.000000045,0.999999999,0.999999918,0.999999997,0.999999956,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
