time,sp,w,value,scenario
100,Urophycis tenuis,0.00284,41927910.184555285,rcp2013
100,Zoarces americanus,0.00284,1247688987.641142,rcp2013
100,Alosa pseudoharengus,0.00337,172124137.31037262,rcp2013
100,Alosa sapidissima,0.00337,33695817.454708144,rcp2013
100,Ammodytes dubius,0.00337,5062546845.110008,rcp2013
100,Anchoa mitchilli,0.00337,1819616.1464615376,rcp2013
100,Clupea harengus,0.00337,450926825838.01733,rcp2013
100,Gadus morhua,0.00337,110892234.22630316,rcp2013
100,Glyptocephalus cynoglossus,0.00337,9433452601.837595,rcp2013
100,Limanda ferruginea,0.00337,13020727265.792542,rcp2013
100,Lophius americanus,0.00337,1435942.9628038295,rcp2013
100,Melanogrammus aeglefinus,0.00337,1129727405.5060692,rcp2013
100,Merluccius bilinearis,0.00337,1448967755.3738039,rcp2013
100,Myoxocephalus octodecemspinosus,0.00337,22240751.616841607,rcp2013
100,Paralichthys dentatus,0.00337,62306539.69739378,rcp2013
100,Pseudopleuronectes americanus,0.00337,167840615.0172131,rcp2013
100,Rostroraja eglanteria,0.00337,86374.53201977801,rcp2013
100,Squalus acanthias,0.00337,31097095496.66501,rcp2013
100,Urophycis chuss,0.00337,10562627.50135506,rcp2013
100,Urophycis tenuis,0.00337,37253863.39719704,rcp2013
100,Zoarces americanus,0.00337,1102092904.51736,rcp2013
100,Alosa pseudoharengus,0.00401,152893351.41855708,rcp2013
100,Alosa sapidissima,0.00401,29906690.58542899,rcp2013
100,Ammodytes dubius,0.00401,4447334074.567928,rcp2013
100,Anchoa mitchilli,0.00401,1621177.6199929754,rcp2013
100,Clupea harengus,0.00401,398767559769.1258,rcp2013
100,Gadus morhua,0.00401,98675915.37727086,rcp2013
100,Glyptocephalus cynoglossus,0.00401,8326700689.085097,rcp2013
100,Limanda ferruginea,0.00401,11525236097.205952,rcp2013
100,Lophius americanus,0.00401,1275712.730664434,rcp2013
100,Melanogrammus aeglefinus,0.00401,1002135928.2511708,rcp2013
100,Merluccius bilinearis,0.00401,1286165124.9161155,rcp2013
100,Myoxocephalus octodecemspinosus,0.00401,19760037.212172057,rcp2013
100,Paralichthys dentatus,0.00401,55560038.704274185,rcp2013
100,Pseudopleuronectes americanus,0.00401,149171364.6153536,rcp2013
100,Rostroraja eglanteria,0.00401,76996.91679657983,rcp2013
100,Squalus acanthias,0.00401,27468935213.575287,rcp2013
100,Urophycis chuss,0.00401,9382765.25230118,rcp2013
100,Urophycis tenuis,0.00401,33098486.8839712,rcp2013
100,Zoarces americanus,0.00401,973268733.6673743,rcp2013
